지하철역 / 혼잡도,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
뚝섬유원지,29.07222222,32.09444444,27.99444444,34.36111111,41.92222222,48.35,46.68333333,50.98888889,46.62777778,41.29444444,37.65555556,36.43333333,37.35555556,37.95,39.61111111,40.47222222,38.45555556,38.22222222,38.71666667,41.19444444,43.23333333,46.61666667,51.91111111,54.65555556,55.96666667,55.69444444,53.21111111,43.07222222,38.60555556,38.05,37.68888889,39.27777778,37.37222222,39.73333333,32.72777778,27.58888889,20.95555556,6.594444444,2.544444444
마들,17.20555556,17.96111111,17.02777778,20.47777778,25.56666667,28.83888889,28.88888889,30.3,29.67777778,25.35555556,23.59444444,22.96666667,23.92777778,24.05555556,24.62777778,24.09444444,22.7,22.96111111,23.75555556,24.3,25.46111111,28.08333333,30.56666667,29.59444444,30.82777778,30.2,28.71111111,23.30555556,20.65,19.04444444,19.16666667,19.55,18.58888889,19.05,16.26111111,13.37777778,10.85,4.561111111,1.4
먹골,23.22222222,18.92222222,19.46666667,23.99444444,28.58333333,32.76666667,31.85555556,33.25555556,30.72777778,26.83888889,25.23333333,25.65,24.80555556,26.33333333,27.06666667,26.58333333,25.10555556,25.36111111,24.96666667,26.77777778,27.80555556,29.65555556,33.08888889,31.1,33.63333333,33.92222222,32.2,25.35,23.35555556,20.95555556,22.60555556,22.25,21.22222222,22.5,19.78888889,16.4,14.24444444,5.95,2.044444444
면목,33.68333333,27.93333333,26.95555556,33.78333333,41.08333333,46.02222222,43.56666667,46.72777778,40.82777778,38.36111111,33.79444444,34.88888889,33.92777778,35.94444444,37.01111111,37.34444444,35.26111111,35,34.50555556,36,38.91111111,41.30555556,45.64444444,46.56111111,48.78333333,47.43333333,46.21666667,35.81666667,33.3,30.4,32.6,31.76666667,31.56111111,31.38333333,28.78888889,23.88888889,20.62222222,10.48888889,3.05
반포,21.87777778,30.93333333,23.90555556,29.66111111,37.56666667,43.44444444,40.07222222,42.43888889,41.12777778,37.07777778,34.91111111,34.21666667,34.70555556,35.56666667,36.97777778,38.63888889,36.27777778,35.75,36.64444444,38.43888889,40.75555556,44.39444444,47.82777778,51.35555556,50.60555556,50.28888889,46.37222222,39.85555556,34.42777778,33.10555556,33.20555556,33.47777778,33.10555556,33.17222222,30.17777778,24.39444444,18.08888889,5.988888889,2.577777778
보라매,22.24444444,24.96666667,19.59444444,25.10555556,31.57777778,36.97222222,33.15555556,34.71111111,31.61666667,29.78888889,28.57777778,27.62222222,28.56111111,29.61111111,30.09444444,29.62222222,29.70555556,28.77222222,29.51666667,31.08333333,32.62777778,36.66111111,39.88333333,41.03888889,41.76666667,40.62777778,36.90555556,33.77222222,28.56666667,25.98333333,27.32222222,27.08333333,26.20555556,25.11111111,25.11111111,20.58333333,13.96666667,3.3,2.1
사가정,34.83333333,29.03333333,26.57777778,33.8,41.47222222,46.17777778,43.17777778,46.21111111,38.90555556,37.85555556,33.68333333,33.74444444,32.68333333,35.3,36.46111111,36.91666667,34.93888889,34.11111111,33.91666667,35.72222222,39.16111111,40.78888889,46.41666667,45.96111111,49.27777778,47.13333333,46.4,36.9,34,30.57222222,32.56666667,32.75,32.46666667,30.85,29.60555556,24.27222222,18.56111111,6.105555556,3.133333333
상도,33.40555556,27.86666667,24.15,29.80555556,38.44444444,45.42777778,38.67777778,42.47222222,36.66111111,34.82222222,30.97222222,32.47222222,31.02222222,32.52222222,33.09444444,33.85555556,31.88888889,31.73333333,31.87222222,33.96111111,35.47777778,38.95,41.75,43.45555556,45.33333333,43.44444444,41.19444444,35.00555556,31.11666667,28.33888889,29.32777778,30.12222222,29.45555556,28.91111111,26.91111111,22.47222222,15.65,4.188888889,3.15
상봉,31.62777778,26.26666667,25.81111111,31.25,38.12222222,44.16666667,40.07222222,43.33888889,37.96666667,34.99444444,31.15555556,32.3,31.53333333,33.32222222,35.75,34.77777778,32.93888889,31.88888889,32.49444444,33.77777778,35.73888889,41.10555556,45.31111111,42.65,45.9,44.06111111,42.20555556,33.92222222,31.37777778,27.97222222,30.03333333,29.97777778,29.96111111,29.13888889,26.26666667,22.30555556,18.18888889,8.016666667,2.788888889
수락산,17.48333333,14.66111111,15.11666667,18.65,22.78888889,25.28888889,25.04444444,25.38888889,24.03333333,21.31666667,19.23888889,19.71666667,19.52777778,20.01111111,20.64444444,20.64444444,19.15555556,20.15,19.95,20.73333333,21.98888889,23.42777778,25.26111111,24.59444444,25.46666667,25.18888889,23.66666667,18.76666667,16.43888889,15.61666667,15.55555556,15.85,15.60555556,15.28888889,13.31111111,11.18888889,10.02222222,5,1.227777778
숭실대입구,24.97777778,20.69444444,18.19444444,22.18888889,27.88333333,35.17777778,29.38333333,30.80555556,27.71111111,26.2,24.07777778,24.42777778,23.58888889,25.11666667,24.63888889,25.04444444,24.62777778,23.75,24.62777778,26.02777778,26.61111111,29.28888889,31.98888889,32.04444444,32.97222222,31.61666667,30.32777778,25.9,22.98333333,20.94444444,21.17222222,22.22222222,21.26111111,21.3,19.92222222,16.75555556,11,2.622222222,2.255555556
